,microstates
0,5
1,3
2,1
3,3
4,3
5,3
6,3
7,3
8,4
9,1
10,1
11,2
12,5
13,5
14,5
15,1
16,2
17,2
18,3
19,3
20,5
21,5
22,5
23,3
24,4
25,4
26,3
27,1
28,1
29,2
30,3
31,3
32,1
33,1
34,5
35,1
36,1
37,1
38,1
39,4
40,1
41,2
42,2
43,1
44,2
45,2
46,2
47,1
48,1
49,4
50,1
51,2
52,1
53,1
54,1
55,2
56,1
57,1
58,1
59,5
60,5
61,1
62,4
63,1
64,1
65,2
66,2
67,1
68,1
69,1
70,1
71,2
72,4
73,1
74,1
75,1
76,3
77,3
78,3
79,3
80,1
81,1
82,3
83,3
84,5
85,1
86,4
87,2
88,2
89,1
90,4
91,4
92,5
93,1
94,2
95,1
96,1
97,3
98,1
99,2
100,3
101,1
102,1
103,1
104,2
105,1
106,4
107,1
108,1
109,1
110,5
111,5
112,3
113,4
114,3
115,1
116,1
117,3
118,3
119,1
120,1
121,1
122,1
123,5
124,5
125,1
126,4
127,4
128,5
129,1
130,5
131,1
132,4
133,5
134,1
135,5
136,5
137,4
138,1
139,1
140,2
141,1
142,2
143,2
144,2
145,2
146,2
147,1
148,4
149,3
150,1
151,4
152,3
153,1
154,4
155,4
156,1
157,1
158,5
159,5
160,5
161,5
162,2
163,1
164,1
165,4
166,4
167,4
168,5
169,5
170,1
171,4
172,1
173,5
174,5
175,2
176,1
177,1
178,3
179,5
180,2
181,4
182,4
183,2
184,4
185,3
186,3
187,4
188,4
189,2
190,2
191,1
192,2
193,2
194,2
195,2
196,2
197,5
198,4
199,4
200,4
201,4
202,4
203,5
204,2
205,4
206,2
207,2
208,3
209,3
210,1
211,1
212,2
213,2
214,2
215,2
216,2
217,2
218,5
219,2
220,2
221,2
222,2
223,5
224,5
225,2
226,1
227,1
228,1
229,5
230,5
231,3
232,4
233,4
234,4
235,4
236,4
237,2
238,3
239,1
240,2
241,2
242,4
243,1
244,2
245,2
246,2
247,5
248,5
249,5
250,3
251,4
252,2
253,2
254,1
255,2
256,4
257,4
258,1
259,5
260,5
261,5
262,4
263,4
264,4
265,4
266,1
267,1
268,2
269,2
270,2
271,5
272,5
273,3
274,3
275,4
276,4
277,4
278,4
279,1
280,5
281,5
282,1
283,1
284,5
285,5
286,5
287,3
288,4
289,1
290,2
291,5
292,5
293,5
294,3
295,1
296,5
297,5
298,5
299,5
300,1
301,5
302,5
303,3
304,2
305,2
306,1
307,1
308,5
309,5
310,2
311,2
312,1
313,4
314,4
315,2
316,2
317,2
318,2
319,4
320,4
321,3
322,3
323,5
324,5
325,4
326,4
327,4
328,4
329,2
330,4
331,4
332,4
333,4
334,4
335,3
336,5
337,5
338,2
339,4
340,4
341,3
342,5
343,1
344,4
345,4
346,4
347,4
348,3
349,1
350,4
351,4
352,4
353,4
354,4
355,2
356,5
357,5
358,5
359,5
360,3
361,4
362,5
363,5
364,5
365,5
366,5
367,5
368,2
369,1
370,1
371,3
372,5
373,5
374,5
